id,subCategory,articleType
15970,Topwear,Shirts
39386,Bottomwear,Trousers
21379,Bottomwear,Trousers
30805,Topwear,Shirts
26960,Topwear,Shirts
42419,Topwear,Tops
13089,Topwear,Long Sleeve
37812,Topwear,Shirts
56825,Topwear,Shirts
18005,Bottomwear,Shorts
9452,Topwear,Shirts
4943,Topwear,Shirts
59607,Saree,Dresses
54924,Bottomwear,Shorts
23876,Topwear,Long Sleeve
49653,Topwear,Tops
58513,Topwear,Tops
52029,Topwear,Long Sleeve
39716,Dress,Dresses
34009,Topwear,Tops
15984,Topwear,Shirts
59297,Topwear,Shirts
27846,Topwear,Tops
26994,Bottomwear,Trousers
7158,Topwear,Shirts
19547,Topwear,Long Sleeve
16392,Topwear,Shirts
6617,Topwear,Shirts
59638,Saree,Dresses
10257,Bottomwear,Trousers
11385,Topwear,Long Sleeve
22395,Topwear,Shirts
31782,Topwear,Tops
12500,Topwear,Shirts
32563,Bottomwear,Trousers
40143,Topwear,Tops
21174,Topwear,Tops
15341,Bottomwear,Shorts
23623,Topwear,Tops
7193,Bottomwear,Trousers
17624,Bottomwear,Trousers
47154,Bottomwear,Shorts
13284,Bottomwear,Shorts
26163,Bottomwear,Trousers
10401,Topwear,Tops
40371,Bottomwear,Trousers
37223,Topwear,Tops
25520,Topwear,Tops
32597,Topwear,Tops
57100,Topwear,Tops
16530,Topwear,Shirts
7167,Topwear,Shirts
6889,Topwear,Long Sleeve
12190,Topwear,Shirts
19578,Topwear,Tops
27879,Topwear,Tops
13270,Topwear,Tops
31120,Topwear,Tops
40385,Topwear,Tops
14055,Topwear,Shirts
34036,Topwear,Shirts
8779,Topwear,Shirts
27421,Loungewear and Nightwear,Trousers
33213,Topwear,Tops
39729,Topwear,Tops
11143,Topwear,Shirts
56684,Saree,Dresses
4988,Dress,Dresses
11371,Topwear,Shirts
41401,Topwear,Tops
34204,Bottomwear,Trousers
13846,Topwear,Shirts
16508,Bottomwear,Trousers
19540,Topwear,Long Sleeve
57138,Bottomwear,Trousers
15983,Topwear,Shirts
26993,Bottomwear,Trousers
13248,Bottomwear,Trousers
43538,Topwear,Tops
31118,Topwear,Tops
51499,Bottomwear,Trousers
7709,Bottomwear,Trousers
28451,Bottomwear,Trousers
43960,Topwear,Shirts
8741,Topwear,Shirts
27419,Loungewear and Nightwear,Trousers
22359,Topwear,Shirts
49654,Bottomwear,Skirts
11349,Bottomwear,Trousers
58514,Topwear,Tops
4944,Topwear,Shirts
59600,Saree,Dresses
54923,Bottomwear,Shorts
9667,Topwear,Shirts
12538,Bottomwear,Trousers
8587,Topwear,Shirts
42248,Topwear,Tops
9455,Topwear,Shirts
18002,Bottomwear,Shorts
32903,Bottomwear,Shorts
26369,Topwear,Shirts
33489,Topwear,Shirts
56822,Bottomwear,Trousers
39381,Bottomwear,Trousers
15977,Topwear,Shirts
14099,Topwear,Tops
30802,Topwear,Shirts
26967,Topwear,Tops
11376,Topwear,Tops
34203,Bottomwear,Trousers
27614,Bottomwear,Trousers
16361,Topwear,Shirts
46411,Topwear,Long Sleeve
34031,Topwear,Shirts
